equip-10000001,BM 3-12X40
equip-20000001,暴击概率+<critical_percent><%>//n$HG不可用
equip-30000001,BM公司生产的3-12倍光学瞄准镜，让战术少女更容易命中敌人要害，除手枪外均可装配。
equip-40000001,
equip-10000002,LRA 2-12x50
equip-20000002,暴击概率+<critical_percent><%>//n$HG不可用
equip-30000002,LRA公司的新型光学瞄准具，提供更好的视野和更科学的分划方案，除手枪外均可装配。
equip-40000002,
equip-10000003,PSO-1
equip-20000003,暴击概率+<critical_percent><%>//n$HG不可用
equip-30000003,紧凑可靠的设计，使用特殊的分划方案的军用瞄准镜，在战场上可以很方便的进行简单测距，除手枪外均可装配。
equip-40000003,
equip-10000004,VFL 6-24X56
equip-20000004,暴击概率+<critical_percent><%>//n$HG不可用
equip-30000004,为远距离狙击量身打造的优秀瞄准镜，使用最好的材料与光学元件，保证了任何时刻最优秀的表现，除手枪外均可装配。
equip-40000004,
equip-10000005,EOT 506
equip-20000005,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用
equip-30000005,EOT公司生产的506型全息瞄准镜，看起来很酷，除手枪外均可装配。
equip-40000005,
equip-10000006,EOT 512
equip-20000006,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用
equip-30000006,EOT公司生产的512型全息瞄准镜，看起来很酷，除手枪外均可装配。
equip-40000006,
equip-10000007,EOT 516
equip-20000007,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用
equip-30000007,EOT公司生产的516型全息瞄准镜，看起来非常酷，除手枪外均可装配。
equip-40000007,
equip-10000008,EOT 518
equip-20000008,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用
equip-30000008,EOT公司生产的518型全息瞄准镜，看起来真的很酷，除手枪外均可装配。
equip-40000008,
equip-10000009,AMP COMPM2
equip-20000009,命中+<hit> 射速<rate>//n$HG不可用
equip-30000009,AMP公司生产的COMPML红点瞄准镜，唯一的优点是结实，除手枪外均可装配。
equip-40000009,
equip-10000010,AMP COMPM4
equip-20000010,命中+<hit> 射速<rate>//n$HG不可用
equip-30000010,AMP公司生产的COMPML红点瞄准镜，优化了设计，使其更加结实，除手枪外均可装配。
equip-40000010,
equip-10000011,COG M150
equip-20000011,命中+<hit> 射速<rate>//n$HG不可用
equip-30000011,COG公司的先进红点瞄准镜，最大优势在于其不需要依靠电池便可提供任何环境下的瞄准照明，除手枪外均可装配。
equip-40000011,
equip-10000012,ITI MARS
equip-20000012,命中+<hit> 射速<rate>//n$HG不可用
equip-30000012,ITI公司出品的一体化红点瞄准器，在不影响射击视野的情况整合了多种功能，并且配备了防反光装置。除手枪外均可装配。
equip-40000012,
equip-10000013,PEQ-2
equip-20000013,夜视能力+<night_view_percent><%>//n$RF//cMG不可用
equip-30000013,IOP公司人形列装的早期ATPIAL红外指示器，现在人形们晚上也能打中东西了！除步枪和机枪外均可装配。
equip-40000013,
equip-10000014,PEQ-5
equip-20000014,夜视能力+<night_view_percent><%>//n$RF//cMG不可用
equip-30000014,IOP公司人形列装的标准ATPIAL红外指示器，改进了早期型号所有的大量缺陷，但是电池还是用的很快。除步枪和机枪外均可装配。
equip-40000014,
equip-10000015,PEQ-15
equip-20000015,夜视能力+<night_view_percent><%>//n$RF//cMG不可用
equip-30000015,IOP公司人形列装的改进型ATPIAL红外指示器，有效提升了人形在夜战中的战斗力，除步枪和机枪外均可装配。
equip-40000015,
equip-10000016,PEQ-16A
equip-20000016,夜视能力+<night_view_percent><%>//n$RF//cMG不可用
equip-30000016,IOP公司人形列装的定制型ATPIAL红外指示器，满足了人形们的夜间作战的作战需求。除步枪和机枪外均可装配。
equip-40000016,
equip-10000017,M61穿甲弹
